graph,v,e,chrom,art,tabu
1-FullIns\_4.col,93,593,5,5,5
1-FullIns\_5.col,282,3247,6,6,6
1-Insertions\_4.col,67,232,5,5,5
1-Insertions\_5.col,202,1227,6,6,6
1-Insertions\_6.col,607,6337,7,7,8
2-FullIns\_3.col,52,201,5,5,5
2-FullIns\_4.col,212,1621,6,6,7
2-FullIns\_5.col,852,12201,7,7,9
2-Insertions\_4.col,149,541,5,5,5
2-Insertions\_5.col,597,3936,6,6,6
3-FullIns\_3.col,80,346,6,6,6
3-FullIns\_4.col,405,3524,7,7,8
3-FullIns\_5.col,2030,33751,8,8,11
3-Insertions\_3.col,56,110,4,4,4
3-Insertions\_4.col,281,1046,5,5,5
3-Insertions\_5.col,1406,9695,6,6,7
4-FullIns\_3.col,114,541,7,7,7
4-FullIns\_4.col,690,6650,8,8,9
4-FullIns\_5.col,4146,77305,9,10,13
4-Insertions\_3.col,79,156,4,4,4
4-Insertions\_4.col,475,1795,5,5,5
5-FullIns\_3.col,154,792,8,8,8
5-FullIns\_4.col,1085,11395,9,9,10
